,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,popularity_1,popularity_box,popularity_manual,popularity_log,popularity_raiz,popularity_minmax
10,26yvlxKTtN2u3mpbl6AIeI,FACE,Hate Love,Антидепрессант,58,120215,True,0.423,0.657,E,-6.361,major,0.0486,0.607,0.0296,0.304,0.567,129.904,compas_4,emo,59,20.51136307189389,0.25173214285714285,4.060443010546419,7.615773105863909,0.5918367346938775
11,3QgInVIXkrZDRVQfuKUxSm,Little Apple Band,Favorite Songs From Barbie,Queen Of The Waves,31,151250,False,0.624,0.681,D,-7.62,major,0.0504,0.0022,5.1e-05,0.0598,0.613,158.088,compas_4,kids,32,13.238600799126141,-0.02377806122448979,3.4339872044851463,5.5677643628300215,0.31632653061224486
12,6uIPwhxrUFj16Y8ciMB2Pk,"Jaz, The Legend",Era,Era,25,265613,False,0.763,0.711,C,-13.478,major,0.046,0.542,0.928,0.133,0.788,146.01,compas_4,study,26,11.36205005167573,-0.08500255102040816,3.2188758248682006,5.0,0.25510204081632654
13,6iW38RGqdDGOofmz2HeXLW,MEDUZA;Alok;Goodboys,Piece Of Your Heart (Alok Remix),Piece Of Your Heart - Alok Remix,75,166451,False,0.797,0.86,A_B,-4.38,minor,0.0413,0.0312,0.0137,0.334,0.192,124.033,compas_4,electro,76,24.484136255440976,0.4252015306122449,4.31748811353631,8.660254037844387,0.7653061224489796
14,43IscCctGQhK9q4aERxSVI,Simpleton;Mark Topsecret,What's My Name,What's My Name,21,199268,True,0.723,0.855,C,-3.619,major,0.192,0.0934,0.0,0.274,0.711,90.998,compas_4,j-dance,22,10.026895844877238,-0.1258188775510204,3.044522437723423,4.58257569495584,0.21428571428571427
15,6BDi00N2PfxuXa4Txd4ttc,Farzad Golpayegani,Five,Intro,4,116543,False,0.497,0.919,E,-7.515,minor,0.0351,0.456,0.88,0.114,0.46,120.175,compas_4,iranian,5,2.8532406339719207,-0.29928826530612246,1.3862943611198906,2.0,0.04081632653061224
16,2mioFVFyXbANMZ0PcHE9tx,Catz 'n Dogz;Megane Mercury;Solomun,Kiki (Solomun Remix),Kiki - Solomun Remix,35,520625,False,0.799,0.597,G,-10.633,major,0.0681,0.00163,0.851,0.105,0.317,126.0,compas_4,minimal-techno,36,14.422083164899803,0.017038265306122454,3.5553480614894135,5.916079783099616,0.3571428571428571
17,29d0nY7TzCoi22XBqDQkiP,Kate Bush,Hounds of Love (2018 Remaster),Running Up That Hill (A Deal With God) - 2018 Remaster,85,300840,False,0.625,0.533,A_B,-11.903,minor,0.0596,0.659,0.00266,0.0546,0.139,108.296,compas_4,r-n-b,86,26.67636254793298,0.5272423469387755,4.442651256490317,9.219544457292887,0.8673469387755102
18,2Ln1SFoLWYtNwS98uL5G4a,Sean Paul;DJ Laszlo,She Doesn't Mind (Remixes),She Doesn't Mind - DJ Laszlo Radio Edit,55,250115,False,0.714,0.924,G,-4.227,major,0.0639,0.00722,0.000324,0.0368,0.592,129.035,compas_4,dancehall,56,19.7712352874217,0.2211198979591837,4.007333185232471,7.416198487095663,0.5612244897959183
19,4uP1r2VQUD6qWail7dmeG7,Victor & Leo,Victor & Leo Ao Vivo em Floripa,Meu Eu em Você - Ao Vivo,44,244986,False,0.424,0.458,G,-10.625,major,0.0294,0.656,4.17e-06,0.942,0.183,95.663,compas_4,sertanejo,45,16.93050555060882,0.108875,3.784189633918261,6.6332495807108,0.44897959183673464
20,7lBMYdsIxaZj1M6rCz78JT,The Beach Boys,Greatest Hits,Do It Again - Remastered 2012,27,138948,False,0.752,0.552,D_E,-6.47,major,0.0328,0.534,1.59e-05,0.114,0.888,118.04,compas_4,psych-rock,28,12.002734134823333,-0.06459438775510204,3.295836866004329,5.196152422706632,0.2755102040816326
21,3O3HHDnbE2Zow2oScWPheD,CIRRUS,Counterfeit,Half a Cell,9,276243,False,0.505,0.854,E,-4.862,minor,0.0537,0.0177,0.00523,0.352,0.541,179.976,compas_4,breakbeat,10,5.368564050308867,-0.24826785714285715,2.1972245773362196,3.0,0.09183673469387754
22,3Oo4PGMhv2S9i6HMDVpM1c,Black Eyed Vermillion;The Inheritance,The Pleasure Tide,Worst of Times,26,272160,False,0.61,0.716,A,-5.283,major,0.0662,0.284,4.48e-06,0.0858,0.747,152.92,compas_4,goth,27,11.684441780031777,-0.0747984693877551,3.258096538021482,5.0990195135927845,0.26530612244897955
23,5nunoXw8Lr71pGSoTZDp47,Chronic Law;Digi Doran,Four Four,Four Four,29,198666,True,0.566,0.682,A_B,-3.734,minor,0.267,0.0749,0.0,0.156,0.407,179.8,compas_4,dancehall,30,12.627788381159416,-0.044186224489795915,3.367295829986474,5.385164807134504,0.29591836734693877
24,39m87lOMd5ccENPVvAT7gH,Sabaton,Bismarck,Bismarck,65,313984,False,0.505,0.859,F_G,-5.546,minor,0.0431,0.00346,0.0012,0.263,0.434,95.036,compas_4,metal,66,22.189616450206024,0.3231607142857143,4.174387269895637,8.06225774829855,0.6632653061224489
25,6plpGZ7TRQzo8BTVGdBZ4d,Jacky Cheung,等你等到我心痛精選,還是覺得你最好,45,322306,False,0.497,0.294,F,-13.787,major,0.0304,0.241,0.0,0.1,0.308,173.993,compas_4,mandopop,46,17.19797952905159,0.11907908163265307,3.8066624897703196,6.708203932499369,0.4591836734693877
26,05v1D17vjtCNRyalBVGbKU,Raz Dwa Trzy,Mlynarski,Jeszcze W Zielone Gramy,32,481160,False,0.432,0.784,B,-10.273,minor,0.0604,0.829,0.0498,0.963,0.354,108.142,compas_4,blues,33,13.539043779555067,-0.013573979591836729,3.4657359027997265,5.656854249492381,0.32653061224489793
27,6W4YTp6QKGVzMPBasGeP6m,Garçons,The Destroyer,The Destroyer,40,253252,False,0.603,0.58,C,-7.61,major,0.034,0.000421,0.811,0.115,0.0621,103.058,compas_4,club,41,15.83934639933119,0.06805867346938776,3.6888794541139363,6.324555320336759,0.4081632653061224
28,4PdLvrHcVSMUxuxr2apuU3,Kinderen voor Kinderen,Hallo Wereld (33),Papegaai,28,178746,False,0.761,0.916,A_B,-4.243,major,0.0445,0.0314,9.87e-05,0.153,0.535,135.957,compas_4,children,29,12.31712296918866,-0.054390306122448974,3.332204510175204,5.291502622129181,0.2857142857142857
29,7qNS4GwQ8xn7twyWHIZk3C,Luny Tunes;Daddy Yankee;Don Omar;Wisin & Yandel,Halloween 2022 Perreo Vol. 5,Mayor Que Yo 3,1,304746,False,0.715,0.964,C_D,-3.176,minor,0.162,0.0985,0.0,0.291,0.535,91.976,compas_4,latino,2,0.87713654039863,-0.3299005102040816,0.0,1.0,0.01020408163265306
30,2jRISGsO4RTm9CQVb1Jusn,Clara Mae,I'm Not Her,I'm Not Her,59,194204,False,0.477,0.51,D,-8.94,major,0.275,0.228,0.0,0.0755,0.477,111.893,compas_5,swedish,60,20.75516415894907,0.2619362244897959,4.07753744390572,7.681145747868608,0.6020408163265306
31,3wRXaC0c1jyFIAIX3xkpeU,Shiritsu Ebisu Chugaku,Major Debut 10th Anniversary Album 中吉,ハッピーエンドとそれから,20,302440,False,0.694,0.825,C_D,-4.825,minor,0.0285,0.0012,0.0,0.22,0.747,117.008,compas_4,j-idol,21,9.680352568636778,-0.13602295918367346,2.995732273553991,4.47213595499958,0.2040816326530612
32,5EOEErdkUukZF8X7aP4eqo,Michael Brook;Nusrat Fateh Ali Khan,Night Song (Real World Gold),Crest,22,375493,False,0.417,0.49,D,-13.065,minor,0.0514,0.246,0.432,0.065,0.121,105.892,compas_4,ambient,23,10.368038289196615,-0.11561479591836735,3.091042453358316,4.69041575982343,0.22448979591836732
33,30Blk5ivxogelO1rsp5tBg,Martin Solveig;Roy Woods,pov: it's 2020,Juliet & Romeo,0,204514,False,0.711,0.722,B,-6.222,major,0.0334,0.0376,0.000151,0.0651,0.818,122.021,compas_4,edm,1,0.0,-0.3401045918367347,0.0,0.0,0.0
34,3vIkorlCWi4AYVKn2fKHOc,Lorne Balfe,Black Adam (Original Motion Picture Soundtrack),Lake Baikal,17,179101,False,0.131,0.612,G_A,-12.344,major,0.0399,0.192,0.913,0.107,0.0781,97.307,compas_4,british,18,8.604612232688563,-0.16663520408163265,2.833213344056216,4.123105625617661,0.17346938775510204
35,573o3RPFGAXaob5lqXzli7,Dr. John,New Orleans Voodoo Soul,Zu Zu Man,0,199960,False,0.428,0.594,A,-9.657,major,0.0693,0.875,2.2e-05,0.133,0.786,131.18,compas_4,blues,1,0.0,-0.3401045918367347,0.0,0.0,0.0
36,5nujrmhLynf4yMoMtj8AQF,Dua Lipa;DaBaby,Future Nostalgia,Levitating (feat. DaBaby),85,203064,False,0.702,0.825,F_G,-3.787,minor,0.0601,0.00883,0.0,0.0674,0.915,102.977,compas_4,pop,86,26.67636254793298,0.5272423469387755,4.442651256490317,9.219544457292887,0.8673469387755102
37,55YCG8NGMdPBWlzOmKFLeo,Carl & Pearl Butler,Crying My Heart Out Over You,If Teardrops Were Pennies,9,195600,False,0.545,0.305,G,-14.825,major,0.0268,0.451,7.37e-06,0.144,0.57,62.871,compas_4,honky-tonk,10,5.368564050308867,-0.24826785714285715,2.1972245773362196,3.0,0.09183673469387754
38,1RayD3fcMnsD1kCf5Te1Rd,It's DPK;Nidhi Hegde,Saware (Lofi Mix),Saware - Lofi Mix,59,147774,False,0.359,0.369,D,-16.999,major,0.0674,0.792,0.506,0.0986,0.124,126.558,compas_2,indian,60,20.75516415894907,0.2619362244897959,4.07753744390572,7.681145747868608,0.6020408163265306
39,4k3gATMJJUjP3L3xn2YGxK,Yxngxr1,hello hello!,hello hello!,58,148363,True,0.927,0.651,G_A,-5.34,minor,0.0934,0.624,0.0,0.105,0.937,110.009,compas_4,sad,59,20.51136307189389,0.25173214285714285,4.060443010546419,7.615773105863909,0.5918367346938775
40,7o53NbZDqINqkgdQAPcA00,Idina Menzel,JULMYS,The Most Wonderful Time Of The Year,0,184426,False,0.545,0.578,A_B,-7.48,major,0.0368,0.604,0.0,0.281,0.586,92.014,compas_3,show-tunes,1,0.0,-0.3401045918367347,0.0,0.0,0.0
41,7rkkhMxGDlfpHtV9Y9bKsC,Mukesh,Mukesh Ki Barfi,Kisi Ki Muskurahaton Pe,57,269333,False,0.394,0.303,C,-13.401,minor,0.049,0.748,2.02e-05,0.0656,0.837,207.348,compas_4,pop-film,58,20.26613033506138,0.2415280612244898,4.04305126783455,7.54983443527075,0.5816326530612245
42,7DVpVWuhf70KsaxZ7VmJbS,Armin van Buuren;Davina Michelle;Madwave,ASOT 1058 - A State Of Trance Episode 1058,Hold On (ASOT 1058) - Madwave Remix,40,225920,False,0.504,0.962,A_B,-8.206,major,0.0793,0.000186,0.495,0.342,0.179,136.007,compas_4,trance,41,15.83934639933119,0.06805867346938776,3.6888794541139363,6.324555320336759,0.4081632653061224
43,3q6WrVUkLKpAwBfxKO87uX,Gerson Rufino,Reconstrução,Me Perdoe,48,243029,False,0.654,0.636,E,-6.273,major,0.032,0.465,0.0,0.226,0.429,137.961,compas_4,brazil,49,17.988619816401375,0.14969132653061226,3.871201010907891,6.928203230275509,0.4897959183673469
44,5ecN8ysoiyCrdGmUyyEOba,for KING & COUNTRY,Burn The Ships,Never Give Up,47,226373,False,0.59,0.782,A,-5.638,major,0.123,0.0107,1.12e-05,0.0484,0.352,177.811,compas_4,world-music,48,17.726980966613603,0.1394872448979592,3.8501476017100584,6.855654600401044,0.47959183673469385
45,7ltLi7CG003USSGYsSba9s,Alok;Sofi Tukker;INNA,It Don’t Matter - Spotify Singles,It Don’t Matter - Spotify Singles,64,173742,False,0.732,0.864,D_E,-5.94,minor,0.0378,0.161,1.34e-05,0.367,0.568,118.032,compas_4,house,65,21.953773719250943,0.31295663265306123,4.1588830833596715,8.0,0.6530612244897959
46,3y4AS6cTOQBTnEsTbOUtIg,Andrés Calamaro;Juanes;Niño Josele,Música para casa,Enganchate Conmigo,0,225616,False,0.682,0.646,E,-9.274,minor,0.0667,0.576,2.13e-05,0.0978,0.785,87.891,compas_4,alternative,1,0.0,-0.3401045918367347,0.0,0.0,0.0
47,364Am4PI1b6FQc0wUUH7AS,Matoma;Brando,House Anthems,The Bender,1,184320,False,0.707,0.882,F_G,-7.46,major,0.0385,0.0606,0.0131,0.105,0.208,125.007,compas_4,house,2,0.87713654039863,-0.3299005102040816,0.0,1.0,0.01020408163265306
48,75FtEfhCTDmu97mAEqLdYc,Raul Seixas,Bis - Raul Seixas,Abertura / Quando Acabar O Maluco Sou Eu,40,224400,False,0.697,0.667,A,-8.417,major,0.0527,0.0278,0.0,0.361,0.787,132.848,compas_4,r-n-b,41,15.83934639933119,0.06805867346938776,3.6888794541139363,6.324555320336759,0.4081632653061224
49,75JhH3GCl11pwACm5n6Ikx,Simon Kouskounis,Olives,From Sounio to Sevilla,19,276735,False,0.668,0.666,B,-6.335,minor,0.0279,0.729,0.82,0.0999,0.639,100.023,compas_4,guitar,20,9.328059318231766,-0.14622704081632654,2.9444389791664403,4.358898943540674,0.19387755102040816
50,0hwn115SSdnVqoom1qggQF,Los Teen Tops,La Plaga,El Rock de la Carcel,28,139624,False,0.628,0.476,D,-8.174,major,0.0512,0.665,0.00273,0.0576,0.645,90.314,compas_4,rock-n-roll,29,12.31712296918866,-0.054390306122448974,3.332204510175204,5.291502622129181,0.2857142857142857
51,70rsxgG3v35GlBGUu3AsIY,Stick To Your Guns,Diamond,The Bond,27,156626,False,0.283,0.978,F_G,-4.059,minor,0.125,3.58e-06,0.0141,0.081,0.164,140.06,compas_4,metalcore,28,12.002734134823333,-0.06459438775510204,3.295836866004329,5.196152422706632,0.2755102040816326
52,6P3zkrGmoNDZ0hYaPgFoLn,Francisco Lomuto,The Roots of Tango - Nostalgias,Nostalgias,22,184495,False,0.671,0.192,E,-11.036,minor,0.0627,0.976,0.000537,0.0944,0.67,121.908,compas_4,tango,23,10.368038289196615,-0.11561479591836735,3.091042453358316,4.69041575982343,0.22448979591836732
53,6WarP4oMloYg0Z8H8IHeDq,CHANEY,Love Again,Love Again,56,190512,False,0.679,0.876,C,-4.86,minor,0.0512,0.0874,0.0,0.245,0.383,125.985,compas_4,groove,57,20.019432636063787,0.23132397959183673,4.02535169073515,7.483314773547883,0.5714285714285714
54,1QlCTOXupo6cVUpyP5jocN,The Hose,I Survived,I Survived - Different Edit,20,414708,False,0.656,0.733,A_B,-6.127,minor,0.0431,0.000616,0.864,0.0685,0.274,149.998,compas_4,hardstyle,21,9.680352568636778,-0.13602295918367346,2.995732273553991,4.47213595499958,0.2040816326530612
55,6Kh5thzbnEAGzgLFeiVRc4,Shane O,Wedding Cake Riddim,All Out,0,144039,False,0.657,0.705,F,-3.979,minor,0.209,0.0295,0.0,0.159,0.321,126.992,compas_5,dancehall,1,0.0,-0.3401045918367347,0.0,0.0,0.0
56,4NKJXB0qDlTtIFlpOMT7U2,Dinah Eastwood,"Vintage Café: Lounge and Jazz Blends, Vol. 22",Afterglow,0,177500,False,0.859,0.489,D_E,-12.438,major,0.0414,0.127,0.0124,0.143,0.544,119.991,compas_4,jazz,1,0.0,-0.3401045918367347,0.0,0.0,0.0
57,0ipfDQHqD5VAjQbI24ojcZ,Bloodred Hourglass,Where the Oceans Burn,Oceans on Fire,24,275133,False,0.498,0.974,C,-4.199,minor,0.0795,0.000127,4.53e-05,0.371,0.114,108.02,compas_4,death-metal,25,11.035345299013025,-0.09520663265306122,3.1780538303479458,4.898979485566356,0.24489795918367346
58,4cxXHl9buGjMJpF2x8KRX6,Clean Bandit;Rita Ora;KYLE,Good Enough - Easy Pop,Nowhere,0,226040,False,0.794,0.624,B,-6.024,minor,0.0344,0.0575,2.08e-06,0.208,0.755,100.015,compas_4,funk,1,0.0,-0.3401045918367347,0.0,0.0,0.0
59,6dTxcs1wLAj89uaIFpyBBO,Julio Cesar,Cuida de Mim,Eu Elevo,24,271106,False,0.491,0.337,A,-8.515,major,0.0439,0.37,0.0,0.09,0.219,111.531,compas_4,groove,25,11.035345299013025,-0.09520663265306122,3.1780538303479458,4.898979485566356,0.24489795918367346
60,3TQbr3G3U5wlwEJejmqC1F,John Mayer,The Search for Everything,Never on the Day You Leave,56,220866,False,0.536,0.355,D,-8.61,major,0.0259,0.733,1.22e-05,0.138,0.22,139.888,compas_4,singer-songwriter,57,20.019432636063787,0.23132397959183673,4.02535169073515,7.483314773547883,0.5714285714285714
61,0YIn7WsGky3S0ugXcRaBbR,Max e Luan,Esqueminha (Ao Vivo),"Amante, Amiga e Namorada - Ao Vivo",62,139088,False,0.644,0.754,C,-5.874,major,0.0681,0.712,0.0,0.409,0.655,154.973,compas_4,sertanejo,63,21.478291587138298,0.2925484693877551,4.127134385045092,7.874007874011811,0.6326530612244897
62,5YITlxytPOb40sYGunZNKU,Paul Johnson,Acid Is A Friend Of Mine,Acid Is A Friend Of Mine,5,395626,False,0.802,0.704,G,-10.047,major,0.0776,6.66e-05,0.898,0.349,0.269,124.844,compas_4,chicago-house,6,3.4085529277244886,-0.2890841836734694,1.6094379124341003,2.23606797749979,0.0510204081632653
63,2gEh41XUP3vI7kAjlEO92n,Eluveitie,Exile Of The Gods,Exile Of The Gods,49,247688,False,0.475,0.979,A,-4.266,minor,0.0836,6.32e-05,1.44e-05,0.312,0.221,120.011,compas_4,death-metal,50,18.248420569936766,0.1598954081632653,3.8918202981106265,7.0,0.49999999999999994
64,7i43GnAYDOIKqmWvwBEfAA,Frequencerz,10 Years of Hardstyle by Frequencerz,Alright,23,202838,False,0.584,0.979,C_D,-0.504,major,0.141,0.0796,0.0368,0.326,0.0836,155.081,compas_4,hardstyle,24,10.704093673314715,-0.10541071428571427,3.1354942159291497,4.795831523312719,0.2346938775510204
65,3eTU91jSeIc8jJrERwxVPj,Kameleba,Kameleba,Cartas Viejas,35,334306,False,0.636,0.425,F_G,-8.851,minor,0.051,0.372,0.00226,0.0803,0.885,138.449,compas_4,ska,36,14.422083164899803,0.017038265306122454,3.5553480614894135,5.916079783099616,0.3571428571428571
66,5xiX77tfCu9rQ2fXb9pxGU,Wilson Pickett,Miami Funk : Funk Gems from Henry Stone Records,Let Me Know,0,164540,False,0.827,0.729,A_B,-10.124,major,0.133,0.536,0.0089,0.635,0.901,96.301,compas_4,soul,1,0.0,-0.3401045918367347,0.0,0.0,0.0
67,4JXfNOePhdgMOI7KZ1L25U,Breaking Benjamin,Phobia (Clean Version),Breath,67,218466,False,0.347,0.868,F,-4.145,minor,0.0467,0.00012,0.000273,0.0845,0.313,182.851,compas_4,grunge,68,22.65763305732609,0.3435688775510204,4.204692619390966,8.18535277187245,0.6836734693877551
68,7CkPZuGvLzFM0lPp7b7dPP,ChuChu TV,"ChuChu TV Tamil Rhymes & Songs for Children, Vol. 1",Naanga Kaatukku Porom Wild Animals Song,21,387049,False,0.889,0.501,E,-13.366,major,0.132,0.689,0.000936,0.0957,0.766,99.89,compas_4,children,22,10.026895844877238,-0.1258188775510204,3.044522437723423,4.58257569495584,0.21428571428571427
69,0QClTV1SGxUicck7KqG6sE,Floyd Cramer,For The Moment,Tennessee Waltz,11,112973,False,0.394,0.159,G,-12.68,major,0.0286,0.964,0.727,0.121,0.246,83.072,compas_3,honky-tonk,12,6.242708657341049,-0.227859693877551,2.3978952727983707,3.3166247903554,0.11224489795918366
70,2hn02zODitgIsPWpyqWx0X,Kathleen Madigan,Madigan Again,Mom's All-Star Pills,26,432693,True,0.572,0.961,F,-4.792,major,0.903,0.812,0.0,0.665,0.253,102.458,compas_2,comedy,27,11.684441780031777,-0.0747984693877551,3.258096538021482,5.0990195135927845,0.26530612244897955
71,1QBDI0pYOFgskhDI0C7tKh,Wolfgang Amadeus Mozart;Danielle Laval,Mozart - Inspiring Classics,"8 Variations on ‘Ein Weib ist das herrlichste Ding’ by B. Schack in F, K.613: 4. Variation III",1,94438,False,0.215,0.0904,F,-22.501,major,0.0448,0.992,0.892,0.123,0.465,111.983,compas_5,classical,2,0.87713654039863,-0.3299005102040816,0.0,1.0,0.01020408163265306
72,6TIohDYqw9gZQZ0l6I0e6E,Primi Cruz,Primi Cruz,Precioso Acuerdo,29,303321,False,0.687,0.555,C,-9.728,major,0.0319,0.257,0.0,0.248,0.748,87.869,compas_4,salsa,30,12.627788381159416,-0.044186224489795915,3.367295829986474,5.385164807134504,0.29591836734693877
73,6hFeEa1XPaw2bbHi8eFt4x,Raman Negi,Ek Din,Ek Din,46,300202,False,0.724,0.644,D,-7.367,major,0.102,0.0279,0.000801,0.903,0.699,91.995,compas_4,indian,47,17.46345230595361,0.12928316326530612,3.828641396489095,6.782329983125268,0.4693877551020408
74,31p1i3XDY9W8ORcDXmA17Q,BaianaSystem,Invisível,Invisível,36,195040,False,0.725,0.618,A,-9.842,minor,0.046,0.325,0.000133,0.384,0.479,112.681,compas_5,dub,37,14.710717232258322,0.027242346938775516,3.58351893845611,6.0,0.36734693877551017
75,5FQxCrphg2xjAhNzUXRQxc,Hillsong Worship,There Is More,Lettered Love - Live,40,222733,False,0.333,0.52,C,-9.746,major,0.0315,0.182,6.28e-06,0.673,0.259,91.983,compas_4,world-music,41,15.83934639933119,0.06805867346938776,3.6888794541139363,6.324555320336759,0.4081632653061224
76,1bw9ZJ8A0EY3Xdp4MVUWjB,Il Divo,Ancora,Hasta mi final,24,215920,False,0.363,0.297,F,-8.254,major,0.0308,0.425,0.000254,0.11,0.105,131.236,compas_4,opera,25,11.035345299013025,-0.09520663265306122,3.1780538303479458,4.898979485566356,0.24489795918367346
77,6EXO7CcK6z7A5CPjicb4H5,Steve Reich;Daniel Hope;Simos Papanas;Kammerorchester Basel,Classical Running,Duet,0,296237,False,0.505,0.157,F,-19.683,major,0.0426,0.791,0.0683,0.247,0.348,139.929,compas_2,ambient,1,0.0,-0.3401045918367347,0.0,0.0,0.0
78,5j8hhWf7dxILKgMsRSScbM,Zoé,Alternativo diferente latino,Poli / Love - En Vivo,0,256359,False,0.553,0.722,G,-7.794,major,0.0327,0.101,2.83e-05,0.958,0.257,91.267,compas_4,indie,1,0.0,-0.3401045918367347,0.0,0.0,0.0
79,5q4HX5dFrepBt1T4Kjuw6p,LUCHS,Dawning,Red Gold Yesterday,51,138574,False,0.384,0.235,A_B,-20.69,major,0.0332,0.885,0.852,0.0874,0.193,95.95,compas_3,ambient,52,18.762702715037523,0.18030357142857142,3.9318256327243257,7.14142842854285,0.520408163265306
80,0JhJX1qOVhmg1EGQ8dd3Sr,Spidergawd,Spidergawd VI,Oceanchild,26,281194,False,0.436,0.896,B,-4.722,minor,0.0583,1.34e-05,0.000653,0.0698,0.494,115.977,compas_4,psych-rock,27,11.684441780031777,-0.0747984693877551,3.258096538021482,5.0990195135927845,0.26530612244897955
81,6uvcFhpfRLKrT4pNHueLQN,Dale Howard,Real Love,Real Love,51,145560,False,0.621,0.854,E,-6.732,minor,0.0552,0.0116,0.745,0.415,0.681,124.003,compas_4,minimal-techno,52,18.762702715037523,0.18030357142857142,3.9318256327243257,7.14142842854285,0.520408163265306
82,0azC730Exh71aQlOt9Zj3y,Calvin Harris;Rihanna,This Is What You Came For,This Is What You Came For,81,222160,False,0.631,0.927,A,-2.787,minor,0.0332,0.199,0.119,0.148,0.465,123.962,compas_4,progressive-house,82,25.810636824221483,0.4864260204081633,4.394449154672439,9.0,0.8265306122448979
83,0G5N8E8nEQXtlnxi2Xfrj3,William Black;Amidy,Pieces,Closer Than You,45,219200,False,0.501,0.505,A_B,-6.428,major,0.0284,0.098,0.0,0.112,0.227,149.916,compas_4,dubstep,46,17.19797952905159,0.11907908163265307,3.8066624897703196,6.708203932499369,0.4591836734693877
84,6lePhNNMArBmIlN6CcXV53,Ghost,Release Your ANGER,Faith,6,269706,False,0.355,0.823,A,-6.254,major,0.0517,0.000519,0.072,0.258,0.229,183.859,compas_4,hard-rock,7,3.9326321491308263,-0.2788801020408163,1.791759469228055,2.449489742783178,0.061224489795918366
85,6bzGIxjQQuW33nW7neTydA,Billo's,Exitos De Billo's Caracas Boys,Tres Perlas,35,184807,False,0.8,0.603,C,-8.264,major,0.0975,0.709,0.000187,0.0811,0.968,90.154,compas_4,salsa,36,14.422083164899803,0.017038265306122454,3.5553480614894135,5.916079783099616,0.3571428571428571
